井深,钻头深度,泵冲,立压log,大钩负荷,大钩高度,转速,钻压,入口流量log,出口流量log,总池体积,钻时,全烃,甲烷,出口密度,出口温度,垂深,钻头垂深,扭矩,方入,大钩速度,套压,泵冲1,泵冲3,迟到时间,泥浆溢漏,入口密度log,入口温度,H2S,C2,PWD垂深,PWD环空压力,PWD井斜,PWD方位,上返深度,操作模式,立压,测量回压,出口流量,出口密度,回压泵流量,循环回压,附加回压,入口流量,定点深度,定点垂深,定点压力,井口调节压力,定点压耗,定点ECD,钻头ECD,钻柱压降,钻头压降,环空压耗,目标回压,静液压力,溢流
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,3.70E-02,-999.25,23.08682,8.07E-07,20.01726,0,0,54.24,0,155.7691,129.7792,-4.049754,0.8331754,0.4811008,1.141851,1.166119,43.62013,42.84221,5.96,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.60936,0.2425348,13.53332,1.207104,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.235767,12.98628,0.2433248,4.200636,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,3.70E-02,-999.25,23.08682,8.07E-07,19.98166,0,0,54.24,0,155.7691,129.7792,-4.049752,0.8331754,0.4811008,1.141851,1.166119,43.62013,42.84221,5.96,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.57403,0.2432622,13.58895,1.207107,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.235779,12.98628,0.2433248,4.200636,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,3.70E-02,-999.25,23.08682,8.07E-07,19.95793,0,0,54.72,0,155.7691,129.7792,-4.04975,0.8405486,0.4811008,1.141851,1.166119,43.62013,42.84221,5.9593,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.54786,0.2439507,13.66727,1.20711,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.192657,1.169988,1.235931,13.18118,0.2476505,4.210127,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,0.01,-999.25,23.08682,8.07E-07,19.9342,0,0,54.24,0,155.7675,129.7792,-4.05135,0.8331754,0.4811008,1.141851,1.166119,43.62013,42.84221,5.9605,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.56347,0.2463341,13.75233,1.207117,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.235829,12.98628,0.2433248,4.200636,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,0.01,-999.25,23.08682,8.07E-07,19.91046,0,0,54.24,0,155.7675,129.7792,-4.051345,0.8331754,0.4811008,1.141851,1.166119,43.62013,42.84221,5.9605,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.73049,0.241334,13.80993,1.207103,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.235748,12.98628,0.2433248,4.200636,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,0.01,-999.25,23.08682,8.07E-07,19.87486,0,0,54.24,0,155.7402,129.7792,-4.07868,0.8331754,0.4811008,1.141036,1.166119,43.62013,42.84221,5.9607,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.95363,0.2220716,13.24276,1.207105,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.235434,12.98628,0.2433248,4.200636,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,0.01,-999.25,23.08682,8.07E-07,19.87486,0,0,54.72,0,155.7129,129.7792,-4.106023,0.8405486,0.4811008,1.141036,1.166675,43.62013,42.84221,5.96,0.001,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.89294,0.228363,12.90223,1.207131,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.192657,1.169988,1.235497,13.18118,0.2476505,4.210127,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,3.70E-02,-999.25,23.08682,8.07E-07,19.88673,0,0,54.24,0,155.6855,128.6408,-4.133361,0.8331754,0.4811008,1.141036,1.166675,43.62013,42.84221,5.9619,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.80323,0.2448355,13.15456,1.207079,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.235805,12.98628,0.2433248,4.200636,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,6.40E-02,-999.25,23.08682,8.07E-07,19.88673,0,0,54.24,0,155.6598,129.7792,-4.159093,0.8331754,0.480233,1.141036,1.166675,43.62013,42.84221,5.9613,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.72337,0.2462288,13.4071,1.207045,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.235828,12.98628,0.2433248,4.200636,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,6.40E-02,-999.25,23.08682,8.07E-07,19.88673,0,0,54.24,0,155.619,129.7792,-4.19988,0.8331754,0.480233,1.141036,1.166675,43.62013,42.84221,5.961,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.64358,0.2421206,13.50573,1.207073,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.235761,12.98628,0.2433248,4.200636,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,6.40E-02,-999.25,23.08682,8.07E-07,19.88673,0,0,54.24,0,155.6324,129.7792,-4.186438,0.8331754,0.480233,1.141036,1.166675,43.62013,42.8822,5.9606,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.60336,0.2408561,13.51476,1.207075,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.23574,12.98628,0.2433248,4.200636,0,69.68288,0
6253.248,6253.248,6238.756,6238.756,14.35728,0,1618.891,0,3.70E-02,-999.25,23.08682,8.07E-07,19.8986,0,0,54.24,0,155.6174,129.7792,-4.201474,0.8331754,0.480233,1.140221,1.166675,43.62013,42.8822,5.9618,0,3.3778,0.2114,678,21.2058,53.35,257.87,0,3,19.56569,0.241581,13.55594,1.207051,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183205,1.169988,1.235752,12.98628,0.2433248,4.200636,0,69.68288,0
