井深,钻头深度,泵冲,立压log,大钩负荷,大钩高度,转速,钻压,入口流量log,出口流量log,总池体积,钻时,全烃,甲烷,出口密度,出口温度,垂深,钻头垂深,扭矩,方入,大钩速度,套压,泵冲1,泵冲3,迟到时间,泥浆溢漏,入口密度log,入口温度,H2S,C2,PWD垂深,PWD环空压力,PWD井斜,PWD方位,上返深度,操作模式,立压,测量回压,出口流量,出口密度,回压泵流量,循环回压,附加回压,入口流量,定点深度,定点垂深,定点压力,井口调节压力,定点压耗,定点ECD,钻头ECD,钻柱压降,钻头压降,环空压耗,目标回压,静液压力,溢流
6831.291,6831.291,6831.291,6831.291,12.59375,54.9938,1673.226,23.124,5.623171,-999.25,9.879581,9.86E-02,18.99676,0,0,51.84,0,132.7204,147.2779,-1.917795,0.7963092,0.5914837,1.144285,1.158376,52.38657,57.2007,9.8433,0,7.25,0.3094,12,73.29582,59.77,117.77,0,3,19.07078,0.2189284,12.37902,1.202073,2.80E-45,0,1.122318,12.7993,6390,6232.937,73,0,4.287794,1.194001,1.254413,13.21008,0.2261336,4.573415,0,72.07768,0
6831.291,6831.291,6831.291,6831.291,12.59375,54.9938,1673.226,23.124,5.774878,-999.25,9.879581,9.86E-02,19.0205,0,0,51.84,0,132.5722,147.2779,-2.066002,0.7963092,0.5914837,1.144285,1.158376,52.38657,57.2007,9.8476,0,7.25,0.3094,12,73.29582,59.77,117.77,0,3,19.00818,0.2140143,12.5294,1.20146,2.80E-45,0,1.122318,12.7993,6390,6232.937,73,0,4.287794,1.194001,1.254498,13.21008,0.2261336,4.573415,0,72.07768,0
6831.291,6831.291,6831.291,6831.291,12.59375,54.9938,1673.226,23.124,5.661098,-999.25,9.879581,0.1182902,19.06796,0,0,51.84,0,132.3395,147.2779,-2.298755,0.7963092,0.5914837,1.144285,1.158376,52.35821,57.2007,9.8495,0,7.25,0.3094,12,73.29582,59.77,117.77,0,3,18.95671,0.2179683,12.62689,1.202157,2.80E-45,0,1.122318,12.7993,6390,6232.937,73,0,4.287794,1.194001,1.254558,13.21008,0.2261336,4.573415,0,72.07768,0
6831.3,6831.3,6831.3,6831.3,12.59375,54.9938,1673.226,23.124,5.547317,-999.25,9.869724,0.1182902,19.07983,0,0,51.84,0,132.2302,147.2779,-2.408065,0.7963092,0.5914837,1.143499,1.158376,52.35821,57.2007,9.8494,0,7.25,0.3094,12,73.29582,59.77,117.77,0,3,18.91897,0.2159006,12.70017,1.201861,2.80E-45,0,1.122318,12.7993,6390,6232.937,73,0,4.287794,1.194001,1.254527,13.21008,0.2261336,4.573415,0,72.07768,0
6831.3,6831.3,6831.3,6831.3,12.59375,54.9938,1673.226,23.124,5.585244,-999.25,9.869724,0.1182902,19.09169,0,0,51.84,0,132.1987,147.2803,-2.439554,0.7963092,0.5914837,1.143499,1.158376,52.35821,57.2007,9.8519,0,7.25,0.3094,12,73.29582,59.77,117.77,0,3,18.85288,0.215653,12.74033,1.201967,2.80E-45,0,1.122318,12.7993,6390,6232.937,73,0,4.287794,1.194001,1.254523,13.21008,0.2261336,4.573415,0,72.07768,0
6831.3,6831.3,6831.3,6831.3,12.59375,54.9938,1673.226,22.92387,5.585244,-999.25,9.869724,0.1182902,19.10356,0,0,52.02581,0,132.1813,147.2803,-2.456898,0.7991634,0.5914837,1.143499,1.158376,52.35821,57.2007,9.8524,0,7.25,0.3094,12,73.29582,59.77,117.77,0,3,18.83551,0.2173876,12.76307,1.201897,2.80E-45,0,1.122318,12.84517,6390,6232.937,73,0,4.291979,1.194001,1.254615,13.29023,0.2277575,4.577858,0,72.07768,0
6831.3,6831.3,6831.3,6831.3,12.59375,54.9938,1673.226,23.46968,5.774878,-999.25,9.869724,0.1182902,19.11543,0,0,52.02581,0,132.2276,146.7543,-2.410575,0.7991634,0.5914837,1.143499,1.158376,52.35821,57.2007,9.858,0,7.25,0.3094,12,73.29582,59.77,117.77,0,3,18.97071,0.2043361,12.72095,1.201958,2.80E-45,0,1.122318,12.84517,6390,6232.937,73,0,4.291979,1.194001,1.25442,13.29023,0.2277575,4.577858,0,72.07768,0
6831.3,6831.3,6831.3,6831.3,12.59375,54.9938,1673.226,23.124,5.850732,-999.25,9.869724,0.1182902,19.11543,0,0,51.84,0,132.4027,146.7543,-2.235502,0.7963092,0.5914837,1.143499,1.158376,52.35821,57.2007,9.8595,0,7.25,0.3094,12,73.3096,59.77,117.77,0,3,19.17481,0.1930486,12.23418,1.20219,2.80E-45,0,1.122318,12.7993,6390,6232.937,73,0,4.287794,1.194001,1.254185,13.21008,0.2261336,4.573415,0,72.07768,0
6831.307,6831.307,6831.307,6831.307,12.59375,54.9938,1673.226,23.688,6.040366,-999.25,9.863153,0.1182902,19.16289,0,0,51.84,0,132.6047,147.2803,-2.033568,0.7963092,0.5914837,1.143499,1.158376,52.35821,57.2007,9.8632,0,7.25,0.3094,12,73.3096,59.77,117.77,0,3,19.11133,0.2215302,12.30963,1.20195,2.80E-45,0,1.122318,12.7993,6390,6232.937,73,0,4.287794,1.194001,1.254433,13.21008,0.2261336,4.573415,0,72.07768,0
6831.307,6831.307,6831.307,6831.307,12.59375,56.54622,1671.673,23.124,6.154146,-999.25,9.863153,0.1182902,19.25782,0,0,51.84,0,132.9462,147.2803,-1.692003,0.7963092,0.5924879,1.143499,1.158376,52.35821,57.2007,9.8647,0,7.25,0.3094,12,73.3096,59.77,117.77,0,3,19.03303,0.2160816,12.53639,1.201515,2.80E-45,0,1.122318,12.7993,6390,6232.937,73,0,4.287794,1.194001,1.254529,13.21008,0.2261336,4.573415,0,72.07768,0
