井深,钻头深度,泵冲,立压log,大钩负荷,大钩高度,转速,钻压,入口流量log,出口流量log,总池体积,钻时,全烃,甲烷,出口密度,出口温度,垂深,钻头垂深,扭矩,方入,大钩速度,套压,泵冲1,泵冲3,迟到时间,泥浆溢漏,入口密度log,入口温度,H2S,C2,PWD垂深,PWD环空压力,PWD井斜,PWD方位,上返深度,操作模式,立压,测量回压,出口流量,出口密度,回压泵流量,循环回压,附加回压,入口流量,定点深度,定点垂深,定点压力,井口调节压力,定点压耗,定点ECD,钻头ECD,钻柱压降,钻头压降,环空压耗,目标回压,静液压力,溢流
6858.819,6858.819,6856.312,6856.312,17.52787,0,1736.875,24.56129,4.675,-999.25,4.260199,-6.24E-07,20.24272,0,0,55.74194,0,133.1841,138.7702,3.74E-02,0.8562465,0.6477199,1.15,1.173205,43.76567,56.04533,52.6869,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.30722,0.2200221,13.64766,1.217012,5.20E-06,0,1.622318,13.76268,6390,6232.937,73.5,0,4.314161,1.203285,1.255007,14.98434,0.2614563,4.621664,0,72.07768,0
6858.819,6858.819,6856.312,6856.312,17.52787,0,1736.875,25.1071,4.599146,-999.25,4.260199,-6.24E-07,20.24272,0,0,55.74194,0,133.2616,137.4211,0.1147533,0.8562465,0.6477199,1.15,1.173834,43.76567,56.04533,52.7051,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.42553,0.2049742,13.26873,1.218118,3.33E-06,0,1.622318,13.76268,6390,6232.937,73.5,0,4.314161,1.203285,1.254783,14.98434,0.2614563,4.621664,0,72.07768,0
6858.819,6858.819,6856.312,6856.312,17.52787,0,1736.875,24.56129,4.56122,-999.25,4.260199,-6.24E-07,20.27832,0,0,55.74194,0,133.3006,137.4211,0.1538036,0.8562465,0.6487241,1.15,1.173834,43.76567,56.04533,52.6895,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.32696,0.2162802,12.80593,1.218167,6.36E-05,0,1.622318,13.76268,6390,6232.937,73.5,0,4.314161,1.203285,1.254816,14.98434,0.2614563,4.621664,0,72.07768,0
6858.819,6858.819,6856.312,6856.312,17.52787,0,1738.427,24.816,4.523293,-999.25,4.260199,-6.24E-07,20.31392,0,0,55.68,0,133.3687,137.4211,0.2219411,0.8552951,0.6487241,1.15,1.174463,43.76567,56.04533,52.6539,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.25361,0.2280611,13.0667,1.217449,4.07E-05,0,1.622318,13.74739,6390,6232.937,73.5,0,4.37525,1.203285,1.256034,14.9562,0.2608756,4.682665,0,72.07768,0
6858.819,6858.819,6856.312,6856.312,17.52787,0,1738.427,24.816,4.371585,-999.25,4.260199,-6.24E-07,20.32578,0,0,55.68,0,133.3883,137.5739,0.2414731,0.8552951,0.6487241,1.15,1.174463,43.76567,56.04533,52.6396,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.21083,0.2297494,13.3272,1.217499,8.42E-04,0,1.622318,13.74739,6390,6232.937,73.5,0,4.37525,1.203285,1.256059,14.9562,0.2608756,4.682665,0,72.07768,0
6858.819,6858.819,6856.312,6856.312,17.52787,0,1738.427,24.816,4.409512,-999.25,4.260199,-6.24E-07,20.36138,0,0,55.68,0,133.3885,137.5739,0.2417144,0.8552951,0.6487241,1.15,1.174463,43.76567,56.04533,52.6496,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.13948,0.2277587,13.40643,1.217541,8.72E-04,0,1.622318,13.74739,6390,6232.937,73.5,0,4.37525,1.203285,1.256029,14.9562,0.2608756,4.682665,0,72.07768,0
6858.819,6858.819,6856.312,6856.312,17.52787,0,1738.427,25.38,4.485366,-999.25,4.260199,-6.24E-07,20.38511,0,0,55.68,0,133.3883,137.5739,0.241471,0.8552951,0.6487241,1.15,1.175092,43.76567,56.04533,52.6205,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.11869,0.2263474,13.38757,1.217063,5.58E-04,0,1.622318,13.74739,6390,6232.937,73.5,0,4.37525,1.203285,1.256009,14.9562,0.2608756,4.682665,0,72.07768,0
6858.819,6858.819,6856.312,6856.312,17.52787,0,1738.427,24.816,4.485366,-999.25,4.260199,-6.24E-07,20.38511,0,0,55.68,0,133.3302,137.5739,0.1833667,0.8552951,0.6497283,1.15,1.175092,43.76567,56.04533,52.559,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.09966,0.2270395,13.42191,1.217319,1.67E-03,0,1.622318,13.74739,6390,6232.937,73.5,0,4.37525,1.203285,1.256019,14.9562,0.2608756,4.682665,0,72.07768,0
6858.819,6858.819,6856.312,6856.312,17.52787,0,1738.427,24.816,4.523293,-999.25,4.260199,-6.24E-07,20.38511,0,0,55.68,0,133.2528,137.5739,0.1059747,0.8552951,0.6497283,1.15,1.175092,43.76567,56.04533,52.5681,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.09,0.2280962,13.47174,1.218309,1.07E-03,0,1.622318,13.74739,6390,6232.937,73.5,0,4.37525,1.203285,1.256034,14.9562,0.2608756,4.682665,0,72.07768,0
6858.819,6858.819,6856.312,6856.312,17.52787,0,1738.427,24.816,4.447439,-999.25,4.260199,-6.24E-07,20.39698,0,0,56.16,0,133.1944,137.5739,4.76E-02,0.8626683,0.6497283,1.15,1.175092,43.76567,56.04533,52.552,0,39.7284,1.3872,50.34,15.74365,88.19,117.51,0,3,20.09148,0.2294468,13.52041,1.218309,8.21E-04,0,1.622318,13.8659,6390,6232.937,73.5,0,4.32838,1.203285,1.255367,15.17484,0.2653929,4.636473,0,72.07768,0
