井深,钻头深度,泵冲,立压log,大钩负荷,大钩高度,转速,钻压,入口流量log,出口流量log,总池体积,钻时,全烃,甲烷,出口密度,出口温度,垂深,钻头垂深,扭矩,方入,大钩速度,套压,泵冲1,泵冲3,迟到时间,泥浆溢漏,入口密度log,入口温度,H2S,C2,PWD垂深,PWD环空压力,PWD井斜,PWD方位,上返深度,操作模式,立压,测量回压,出口流量,出口密度,回压泵流量,循环回压,附加回压,入口流量,定点深度,定点垂深,定点压力,井口调节压力,定点压耗,定点ECD,钻头ECD,钻柱压降,钻头压降,环空压耗,目标回压,静液压力,溢流
6253.248,6253.248,6251.845,6251.845,14.35728,0..000001,1659.254,0,0.3881892,-999.25,9.997872,-9.86E-07,20.05286,0,0,54.72,0,154.2331,130.0224,-1.35608,0.8405486,0.6372964,1.161808,1.177039,44.3541,46.12162,44.635,0,28.591,1.5949,678,21.2058,53.35,257.87,0,3,19.70012,0.2333827,13.58439,1.209026,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235931,13.20527,0.2476505,4.218893,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3611757,-999.25,9.997872,-9.86E-07,20.01726,0,0,54.72,0,154.2604,128.8819,-1.328743,0.8405486,0.6372964,1.162464,1.177039,44.3541,46.12162,44.5755,0,28.591,1.5949,678,21.2058,53.35,257.87,0,3,19.64441,0.2334919,13.61189,1.208955,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235918,13.20527,0.2476505,4.218893,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3071486,-999.25,9.997872,-9.86E-07,19.98166,0,0,54.72,0,154.2744,128.8819,-1.31475,0.8405486,0.6372964,1.162464,1.177039,44.3541,46.12162,44.5434,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.60151,0.2345629,13.65879,1.208947,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235935,13.20527,0.2476505,4.218893,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3341622,-999.25,9.997872,-9.86E-07,19.94606,0,0,54.24,0,154.2826,128.8819,-1.306523,0.8331754,0.6372964,1.162464,1.177039,44.3541,46.12162,44.419,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.5797,0.234907,13.70839,1.208938,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183851,1.169988,1.235786,13.01002,0.2433248,4.209383,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3341622,-999.25,9.997872,-9.86E-07,19.9342,0,0,54.72,0,154.3288,130.0224,-1.260349,0.8405486,0.6372964,1.162464,1.177039,44.3541,46.08162,44.3771,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.55436,0.2387564,13.77848,1.209001,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.236004,13.20527,0.2476505,4.218893,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3341622,-999.25,9.997872,-9.86E-07,19.9342,0,0,54.72,0,154.3362,128.8819,-1.252942,0.8405486,0.6364286,1.162464,1.177039,44.3541,46.08162,44.3228,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.59456,0.2417666,13.87267,1.208968,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.236053,13.20527,0.2476505,4.218893,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3341622,-999.25,9.997872,-9.86E-07,19.91046,0,0,54.72,0,154.3228,128.8819,-1.266378,0.8405486,0.6364286,1.162464,1.177039,44.3541,46.08162,44.2868,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.78486,0.2237387,13.79476,1.208906,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235759,13.20527,0.2476505,4.218893,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3611757,-999.25,9.997872,-9.86E-07,19.863,0,0,54.72,0,154.3635,128.8819,-1.225605,0.8405486,0.6364286,1.162464,1.177039,44.3541,46.08162,44.2573,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.96432,0.2072943,13.08381,1.209336,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.23549,13.20527,0.2476505,4.218893,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3341622,-999.25,9.997872,-9.86E-07,19.85113,0,0,54.24,0,154.3436,128.8819,-1.245535,0.8331754,0.6355609,1.162464,1.177039,44.3541,46.08162,44.2194,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.89429,0.2294745,13.03359,1.209249,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183851,1.169988,1.235697,13.01002,0.2433248,4.209383,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3341622,-999.25,9.997872,-9.86E-07,19.87486,0,0,54.72,0,154.337,130.0224,-1.252131,0.8405486,0.6346931,1.162464,1.177039,44.3541,46.08162,44.1513,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.80262,0.2391034,13.36215,1.208834,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.236009,13.20527,0.2476505,4.218893,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3611757,-999.25,9.997872,-9.86E-07,19.87486,0,0,54.8129,0,154.337,128.8819,-1.252135,0.8419757,0.6346931,1.162464,1.177648,44.38469,46.08162,44.0819,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.72986,0.2360497,13.54268,1.209062,2.80E-45,0,2.399998,13.53331,6210,6129.74,70.28288,1.6,4.195129,1.169988,1.23599,13.2432,0.2484921,4.220729,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.4152027,-999.25,9.997872,-9.86E-07,19.863,0,0,54.34838,0,154.337,128.6634,-1.252143,0.8348404,0.6329576,1.162464,1.177648,44.38469,46.12162,44.0577,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.65368,0.2335269,13.56023,1.209034,2.80E-45,0,2.399998,13.41862,6210,6129.74,70.28288,1.6,4.185989,1.169988,1.235803,13.05401,0.2442982,4.211534,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3881892,-999.25,9.997872,-9.86E-07,19.863,0,0,54.34838,0,154.3171,129.7631,-1.272078,0.8348404,0.6320899,1.162464,1.177648,44.38469,46.12162,43.9248,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.62541,0.2346029,13.59933,1.208853,2.80E-45,0,2.399998,13.41862,6210,6129.74,70.28288,1.6,4.185989,1.169988,1.235816,13.05401,0.2442982,4.211534,0,69.68288,0
6253.248,6253.248,6251.845,6251.845,14.35728,0,1659.254,0,0.3881892,-999.25,9.997872,-9.86E-07,19.863,0,0,54.8129,0,154.3171,129.7631,-1.272085,0.8419757,0.6294866,1.162464,1.177648,44.38469,46.12162,43.8678,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.59998,0.2355431,13.64939,1.20881,2.80E-45,0,2.399998,13.53331,6210,6129.74,70.28288,1.6,4.195129,1.169988,1.235981,13.2432,0.2484921,4.220729,0,69.68288,0
6253.248,6253.248,6251.852,6251.852,14.35728,0,1659.254,0,0.3881892,-999.25,9.991301,-9.86E-07,19.87486,0,0,54.8129,0,154.3579,128.6634,-1.231312,0.8419757,0.6277511,1.162464,1.177648,44.38469,46.12162,43.8554,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.58651,0.2363552,13.68998,1.208752,2.80E-45,0,2.399998,13.53331,6210,6129.74,70.28288,1.6,4.195129,1.169988,1.235994,13.2432,0.2484921,4.220729,0,69.68288,0
6253.248,6253.248,6251.881,6251.881,14.35728,0,1660.806,0,0.4152027,-999.25,9.961728,-9.86E-07,19.87486,0,0,54.8129,0,154.3778,128.6634,-1.21138,0.8419757,0.6268833,1.162464,1.177648,44.38469,46.12162,43.8678,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.57115,0.2401707,13.77974,1.208679,2.80E-45,0,2.399998,13.53331,6210,6129.74,70.28288,1.6,4.195129,1.169988,1.236037,13.2432,0.2484921,4.220729,0,69.68288,0
6253.248,6253.248,6251.924,6251.924,14.35728,0,1659.254,0,0.4152027,-999.25,9.919012,-9.86E-07,19.87486,0,0,54.34838,0,154.4051,128.6634,-1.184037,0.8348404,0.6268833,1.162464,1.178256,44.38469,46.12162,43.7258,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.70729,0.2351271,13.86458,1.208611,2.80E-45,0,2.399998,13.41862,6210,6129.74,70.28288,1.6,4.185989,1.169988,1.235824,13.05401,0.2442982,4.211534,0,69.68288,0
6253.248,6253.248,6251.976,6251.976,14.35728,0,1659.254,0,0.3881892,-999.25,9.866438,0.7886043,19.87486,0,0,54.34838,0,154.4174,129.7655,-1.171793,0.8348404,0.6260156,1.162464,1.178256,44.38469,46.12162,43.6813,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.94377,0.2134005,13.56299,1.208703,2.80E-45,0,2.399998,13.41862,6210,6129.74,70.28288,1.6,4.185989,1.169988,1.23547,13.05401,0.2442982,4.211534,0,69.68288,0
6253.248,6253.248,6252.029,6252.029,14.35728,0,1657.702,0,0.3881892,-999.25,9.813865,0.7886043,19.88673,0,0,54.8129,0,154.4234,129.7655,-1.165752,0.8419757,0.6260156,1.162464,1.178256,44.38469,46.12162,43.64,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.99493,0.2049657,13.02441,1.208703,2.80E-45,0,2.399998,13.53331,6210,6129.74,70.28288,1.6,4.195129,1.169988,1.235482,13.2432,0.2484921,4.220729,0,69.68288,0
6253.248,6253.248,6252.134,6252.134,14.35728,0,1654.597,0,0.3611757,-999.25,9.708717,0.7886043,19.8986,0,0,54.72,0,154.4217,128.6677,-1.167503,0.8405486,0.6251478,1.162464,1.178256,44.38469,46.12162,43.5477,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.86451,0.2314345,13.07083,1.208759,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235786,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.134,6252.134,14.35728,0,1654.597,0,0.3611757,-999.25,9.708717,0.7886043,19.8986,0,0,54.72,0,154.4217,128.6677,-1.167503,0.8405486,0.6251478,1.162464,1.178256,44.38469,46.12162,43.5477,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.77861,0.2333136,13.34792,1.208594,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235918,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.187,6252.187,14.35728,0,1653.044,0,0.3341622,-999.25,9.656143,0.7886043,19.91046,0,0,54.24,0,154.3943,128.8881,-1.194843,0.8331754,0.6251478,1.162464,1.178256,44.38469,46.12162,43.4587,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.71602,0.2308117,13.43574,1.208674,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183851,1.169988,1.235722,13.01058,0.2433248,4.209589,0,69.68288,0
6253.248,6253.248,6252.219,6252.219,14.35728,0,1651.492,0,0.3341622,-999.25,9.623285,0.7886043,19.91046,0,0,54.72,0,154.4399,130.0287,-1.149221,0.8405486,0.6242801,1.162464,1.178256,44.38469,46.12162,43.4306,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.65292,0.2319656,13.44811,1.208611,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235896,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1649.94,0,0.3611757,-999.25,9.616714,0.7886043,19.92233,0,0,54.72,0,154.4126,128.8881,-1.176561,0.8405486,0.6251478,1.162464,1.178865,44.38469,46.12162,43.3867,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.62708,0.2381683,13.59545,1.208506,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235967,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1648.387,0,0.3611757,-999.25,9.616714,0.7886043,19.92233,0,0,54.72,0,154.4174,128.8881,-1.171718,0.8405486,0.6268833,1.162464,1.178865,44.38469,46.12162,43.3867,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.6051,0.2396847,13.73215,1.2086,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.236022,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1645.282,0,0.3611757,-999.25,9.616714,0.7886043,19.92233,0,0,54.24,0,154.4174,128.8881,-1.171714,0.8331754,0.6268833,1.162464,1.178865,44.38469,46.12162,43.3095,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.60216,0.2398506,13.80003,1.208542,2.80E-45,0,2.399998,13.39186,6210,6129.74,70.28288,1.6,4.183851,1.169988,1.23587,13.01058,0.2433248,4.209589,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1643.73,0,0.3611757,-999.25,9.616714,0.7886043,19.92233,0,0,54.72,0,154.4374,130.0287,-1.151777,0.8405486,0.6268833,1.161808,1.178865,44.38469,46.12162,43.3533,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.64078,0.2404089,13.86066,1.208492,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.236034,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1642.177,0,0.3611757,-999.25,9.616714,1.498348,19.91046,0,0,54.72,0,154.4513,128.8881,-1.137885,0.8405486,0.6268833,1.162464,1.178865,44.38469,46.12162,43.2623,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.83408,0.2248983,13.83572,1.208402,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235957,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1642.177,0,0.3881892,-999.25,9.616714,1.498348,19.87486,0,0,54.72,0,154.4863,128.8881,-1.102857,0.8405486,0.6268833,1.161808,1.178865,44.38469,46.12162,43.17,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,20.00119,0.2097638,13.41268,1.208402,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235534,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1642.177,0,0.4152027,-999.25,9.616714,1.498348,19.87486,0,0,54.72,0,154.541,128.8881,-1.048187,0.8405486,0.6268833,1.161808,1.178865,44.38469,46.12162,43.1327,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.92797,0.2308834,13.15711,1.208681,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235712,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1642.177,0,0.4152027,-999.25,9.616714,1.498348,19.8986,0,0,54.72,0,154.536,128.8881,-1.053131,0.8405486,0.6268833,1.161808,1.178865,44.38469,46.12162,43.064,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.84772,0.2398181,13.46594,1.208525,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.236024,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1642.177,0,0.4692297,-999.25,9.616714,1.498348,19.91046,0,0,54.72,0,154.57,128.8881,-1.0192,0.8405486,0.6268833,1.161808,1.178865,44.38469,46.12162,43.043,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.78602,0.2368348,13.62982,1.208511,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235976,13.20584,0.2476505,4.2191,0,69.68288,0
6253.248,6253.248,6252.226,6252.226,14.35728,0,1642.177,0,0.4692297,-999.25,9.616714,1.498348,19.92233,0,0,54.72,0,154.6246,128.8881,-0.9645279,0.8405486,0.6268833,1.161808,1.179473,44.38469,46.12162,42.9861,0,26.4961,1.5054,678,21.2058,53.35,257.87,0,3,19.72956,0.2334571,13.63522,1.208514,2.80E-45,0,2.399998,13.51037,6210,6129.74,70.28288,1.6,4.193305,1.169988,1.235921,13.20584,0.2476505,4.2191,0,69.68288,0
