井深,钻头深度,泵冲,立压log,大钩负荷,大钩高度,转速,钻压,入口流量log,出口流量log,总池体积,钻时,全烃,甲烷,出口密度,出口温度,垂深,钻头垂深,扭矩,方入,大钩速度,套压,泵冲1,泵冲3,迟到时间,泥浆溢漏,入口密度log,入口温度,H2S,C2,PWD垂深,PWD环空压力,PWD井斜,PWD方位,上返深度,操作模式,立压,测量回压,出口流量,出口密度,回压泵流量,循环回压,附加回压,入口流量,定点深度,定点垂深,定点压力,井口调节压力,定点压耗,定点ECD,钻头ECD,钻柱压降,钻头压降,环空压耗,目标回压,静液压力,溢流
6973.1,6973.1,6973.1,6973.1,12.31042,38.64824,1735.323,21.996,9.143579,-999.25,4.468651,7.36E-02,19.25782,0,0,49.44,0,156.3148,157.302,-0.7232557,0.759443,0.6188681,1.15,1.165016,49.09702,53.64217,16.4802,0,10.8796,0.5472,6,72.50092,83.32,117.77,0,3,18.90806,0.2099768,12.2179,1.197919,2.23E-39,0,1.5,11.88043,6800,6241.11,75,-1.547805,4.524021,1.226234,1.254231,11.86497,0.1948307,4.64273,0,72.1722,0
6973.1,6973.1,6973.1,6973.1,12.31042,38.64824,1735.323,21.996,9.290895,-999.25,4.468651,7.36E-02,19.25782,0,0,49.44,0,156.281,158.8442,-0.7570282,0.759443,0.6188681,1.150686,1.165016,49.09702,53.64217,16.5486,0,10.8796,0.5472,6,72.50092,83.32,117.77,0,3,18.89688,0.2115786,12.26169,1.197891,1.14E-39,0,1.5,11.88043,6800,6241.11,75,-1.547805,4.524021,1.226234,1.254255,11.86497,0.1948307,4.64273,0,72.1722,0
6973.1,6973.1,6973.1,6973.1,12.31042,40.20066,1733.77,21.996,9.364552,-999.25,4.468651,7.36E-02,19.24595,0,0,48.96,0,156.27,157.302,-0.7680373,0.7520698,0.6182356,1.150686,1.165733,49.09702,53.64217,16.5876,0,10.8796,0.5472,6,72.50092,83.32,117.77,0,3,19.0511,0.2117884,12.40814,1.197895,7.30E-40,0,1.5,11.76509,6800,6241.11,75,-1.547805,4.511796,1.226234,1.254075,11.67086,0.1910659,4.630214,0,72.1722,0
6973.1,6973.1,6973.1,6973.1,12.31042,40.20066,1733.77,21.996,9.327724,-999.25,4.468651,7.36E-02,19.21036,0,0,49.44,0,156.2254,158.8442,-0.8127098,0.759443,0.6182356,1.150686,1.165733,49.09702,53.64217,16.6143,0,10.8796,0.5472,6,72.50092,83.32,117.77,0,3,19.26109,0.1794314,11.80113,1.197944,4.67E-40,0,1.5,11.88043,6800,6241.11,75,-1.547805,4.524021,1.226234,1.2539,11.86497,0.1948307,4.64273,0,72.1722,0
6973.1,6973.1,6973.1,6973.1,12.31042,40.20066,1733.77,21.996,9.327724,-999.25,4.468651,7.36E-02,19.21036,0,0,49.44,0,156.1916,157.302,-0.8464839,0.759443,0.6182356,1.150686,1.165733,49.09702,53.64217,16.6535,0,10.8796,0.5472,6,72.50092,83.32,117.77,0,3,19.26412,0.1927463,11.32251,1.197944,2.99E-40,0,1.5,11.88043,6800,6241.11,75,-1.547805,4.524021,1.226234,1.253979,11.86497,0.1948307,4.64273,0,72.1722,0
6973.1,6973.1,6973.1,6973.1,12.31042,40.20066,1733.77,21.996,9.327724,-999.25,4.468651,7.36E-02,19.21036,0,0,49.44,0,156.1916,157.302,-0.8464839,0.759443,0.6182356,1.150686,1.165733,49.09702,53.64217,16.6535,0,10.8796,0.5472,6,72.50092,83.32,117.77,0,3,19.18448,0.2191174,11.78373,1.197924,1.53E-40,0,1.5,11.88043,6800,6241.11,75,-1.547805,4.524021,1.226234,1.254365,11.86497,0.1948307,4.64273,0,72.1722,0
6973.105,6973.105,6973.105,6973.105,12.31042,40.20066,1733.77,21.996,9.217237,-999.25,4.46252,7.36E-02,19.23409,0,0,48.96,0,156.1806,157.302,-0.8575055,0.7520698,0.6176032,1.150686,1.165733,49.09702,53.64217,16.6846,0,11.3836,0.5626,6,72.50092,83.32,117.77,0,3,19.08879,0.2054795,12.08802,1.197877,9.80E-41,0,1.5,11.76509,6800,6241.11,75,-1.547805,4.511796,1.226234,1.254049,11.67086,0.1910659,4.630214,0,72.1722,0
6973.105,6973.105,6973.105,6973.105,12.31042,40.20066,1733.77,21.58759,9.10675,-999.25,4.46252,7.36E-02,19.23409,0,0,49.15862,0,156.1468,158.8472,-0.8912895,0.7551208,0.6176032,1.150686,1.165733,49.09702,53.64217,16.7202,0,11.3836,0.5626,6,72.50092,83.32,117.77,0,3,19.05237,0.2070183,12.01463,1.197877,6.27E-41,0,1.5,11.81282,6800,6241.11,75,-1.547805,4.51686,1.226234,1.254081,11.75102,0.1926193,4.635398,0,72.1722,0
6973.105,6973.105,6973.105,6973.105,12.31042,40.20066,1733.77,22.17104,9.10675,-999.25,4.46252,7.36E-02,19.23409,0,0,49.15862,0,156.135,158.2054,-0.9030408,0.7551208,0.6169707,1.15,1.165733,49.12537,53.64217,16.7827,0,11.3836,0.5626,6,72.50092,83.32,117.77,0,3,19.0214,0.2108294,12.09616,1.197873,3.21E-41,0,1.5,11.81282,6800,6241.11,75,-1.547805,4.51686,1.226234,1.254137,11.75102,0.1926193,4.635398,0,72.1722,0
6973.105,6973.105,6973.105,6973.105,12.31042,40.20066,1733.77,21.58759,9.180408,-999.25,4.46252,3.68E-02,19.23409,0,0,49.15862,0,156.135,158.2054,-0.9030417,0.7551208,0.6163383,1.15,1.165733,49.12537,53.64217,16.8145,0,11.3836,0.5626,6,72.50092,83.32,117.77,0,3,18.98022,0.2111387,12.17887,1.197835,2.06E-41,0,1.5,11.81282,6800,6241.11,75,-1.547805,4.51686,1.226234,1.254141,11.75102,0.1926193,4.635398,0,72.1722,0
