井深,钻头深度,泵冲,立压log,大钩负荷,大钩高度,转速,钻压,入口流量log,出口流量log,总池体积,钻时,全烃,甲烷,出口密度,出口温度,垂深,钻头垂深,扭矩,方入,大钩速度,套压,泵冲1,泵冲3,迟到时间,泥浆溢漏,入口密度log,入口温度,H2S,C2,PWD垂深,PWD环空压力,PWD井斜,PWD方位,上返深度,操作模式,立压,测量回压,出口流量,出口密度,回压泵流量,循环回压,附加回压,入口流量,定点深度,定点垂深,定点压力,井口调节压力,定点压耗,定点ECD,钻头ECD,钻柱压降,钻头压降,环空压耗,目标回压,静液压力,溢流
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.39561,-999.25,8.059217,-2.08E-06,20.51564,0,0,53.76,0,132.4408,143.7,-0.7064773,0.8258021,0.5955006,1.15,1.145009,43.96418,52.67165,4.5497,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.25683,0.2253362,13.15283,1.208272,1.83E-04,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.255274,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.357683,-999.25,8.059217,-2.08E-06,20.52751,0,0,53.76,0,132.5179,142.417,-0.6293241,0.8258021,0.5955006,1.15,1.145009,43.96418,52.67165,4.549,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.25983,0.2261377,13.17892,1.208283,9.37E-05,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.255286,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,24.252,5.471463,-999.25,8.059217,-2.08E-06,20.52751,0,0,53.28,0,132.6013,142.417,-0.545953,0.8184289,0.5955006,1.15,1.145009,43.96418,52.67165,4.5495,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.49714,0.2188985,13.19195,1.208283,5.99E-05,0,1.622318,13.15483,6390,6232.937,73.5,0,4.321513,1.203285,1.255009,13.87445,0.238871,4.622952,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.471463,-999.25,8.059217,-2.08E-06,20.52751,0,0,53.76,0,132.6594,143.7,-0.4878509,0.8258021,0.5955006,1.15,1.145009,43.96418,52.67165,4.5507,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.60829,0.1980351,12.58939,1.208321,3.84E-05,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.254942,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,24.252,5.471463,-999.25,8.059217,-2.08E-06,20.56311,0,0,53.76,0,132.7558,142.417,-0.3914134,0.8258021,0.5955006,1.15,1.145009,43.96418,52.67165,4.5505,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.5602,0.2201099,12.52415,1.208303,2.46E-05,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.255197,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.471463,-999.25,8.059217,-2.08E-06,20.58684,0,0,53.28,0,132.8392,142.417,-0.3080452,0.8184289,0.5955006,1.15,1.145009,43.96418,52.67165,4.5521,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.46409,0.2298893,12.89974,1.208211,1.26E-05,0,1.622318,13.15483,6390,6232.937,73.5,0,4.321513,1.203285,1.255173,13.87445,0.238871,4.622952,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.433537,-999.25,8.059217,-2.08E-06,20.57497,0,0,53.76,0,132.9164,143.7,-0.2308983,0.8258021,0.5955006,1.15,1.145009,43.96418,52.67165,4.5529,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.34769,0.2259924,13.03307,1.208308,8.04E-06,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.255284,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,24.252,5.50939,-999.25,8.059217,-2.08E-06,20.56311,0,0,53.76,0,132.9745,142.417,-0.1727948,0.8258021,0.5955006,1.15,1.145009,43.96418,52.67165,4.5519,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.30025,0.2245231,13.06683,1.208274,5.15E-06,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.255252,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.357683,-999.25,8.059217,-2.08E-06,20.56311,0,0,53.76,0,133.0385,142.417,-0.1087187,0.8258021,0.5965048,1.15,1.145009,43.96418,52.67165,4.5522,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.27452,0.2258614,13.12682,1.208274,3.30E-06,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.255282,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,24.01548,5.39561,-999.25,8.059217,-2.08E-06,20.56311,0,0,53.41935,0,133.0964,142.417,-5.08E-02,0.8205696,0.5965048,1.15,1.145009,43.96418,52.67165,4.5522,0.001,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.2445,0.2259031,13.17411,1.208326,1.69E-06,0,1.622318,13.18924,6390,6232.937,73.5,0,4.324625,1.203285,1.255163,13.93586,0.2401222,4.626265,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,24.01548,5.357683,-999.25,8.059217,-2.08E-06,20.55124,0,0,53.41935,0,133.1795,142.0896,3.23E-02,0.8205696,0.597509,1.15,1.145009,43.96418,52.67165,4.5547,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.21998,0.2257201,13.22368,1.208295,2.43E-03,0,1.622318,13.18924,6390,6232.937,73.5,0,4.324625,1.203285,1.25516,13.93586,0.2401222,4.626265,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.46968,5.433537,-999.25,8.059217,-2.08E-06,20.55124,0,0,53.41935,0,133.2179,143.3252,7.06E-02,0.8205696,0.597509,1.15,1.145009,43.96418,52.67165,4.5546,0,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.22004,0.2269241,13.27464,1.208295,1.55E-03,0,1.622318,13.18924,6390,6232.937,73.5,0,4.324625,1.203285,1.255178,13.93586,0.2401222,4.626265,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,24.252,5.471463,-999.25,8.059217,-2.08E-06,20.55124,0,0,53.76,0,133.2372,143.3252,8.99E-02,0.8258021,0.597509,1.15,1.145009,43.96418,52.67165,4.5546,0.001,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.22173,0.2290758,13.34082,1.208295,9.94E-04,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.25533,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.357683,-999.25,8.059217,-2.08E-06,20.55124,0,0,53.76,0,133.2372,142.417,8.99E-02,0.8258021,0.597509,1.15,1.145009,43.96418,52.67165,4.5554,0.001,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.21046,0.2293184,13.39124,1.208252,5.09E-04,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.255334,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,24.252,5.319756,-999.25,8.059217,-2.08E-06,20.52751,0,0,53.28,0,133.2562,142.417,0.1089286,0.8184289,0.597509,1.15,1.144072,43.96418,52.67165,4.5552,0.001,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.20041,0.227672,13.38938,1.208289,3.26E-04,0,1.622318,13.15483,6390,6232.937,73.5,0,4.321513,1.203285,1.25514,13.87445,0.238871,4.622952,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.319756,-999.25,8.059217,-2.08E-06,20.46818,0,0,53.76,0,133.2755,143.7,0.1282164,0.8258021,0.597509,1.15,1.144072,43.96418,52.67165,4.5563,0.001,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.18335,0.2268866,13.37292,1.208289,2.08E-04,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.255298,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.319756,-999.25,8.059217,-2.08E-06,20.46818,0,0,53.76,0,133.2755,143.7,0.1282164,0.8258021,0.597509,1.15,1.144072,43.96418,52.67165,4.5563,0.001,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.19181,0.2278172,13.38099,1.208311,1.33E-04,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.255311,14.08644,0.2431944,4.634345,0,72.07768,0
6858.819,6858.819,6852.513,6852.513,17.52787,0,1741.532,23.688,5.319756,-999.25,8.059217,-2.08E-06,20.43258,0,0,53.76,0,133.2755,142.417,0.128217,0.8258021,0.597509,1.15,1.144072,43.96418,52.67165,4.5562,0.001,2.3541,0.1133,50.34,15.74365,88.19,117.51,0,3,20.33062,0.2196488,13.36013,1.208325,6.83E-05,0,1.622318,13.27334,6390,6232.937,73.5,0,4.332215,1.203285,1.25519,14.08644,0.2431944,4.634345,0,72.07768,0
